fecha	hora_colocacion 	hora_retiro	sexo	ubicacion	codigo_palma	numero_trampas	posicion_GPS	estado	Fecha_apertura	dia_despues_antesis	SYLV1	ND2	ND3	ND4	ND5	MONO1	PTIL1	ND8	OTROS ND	ST1	ST2	ST3	ST4	ST5	ST6	ST7	ST8	ST9	ST10	ST11	ST12	ST13	ST14	ST15	ST16	OTROS ST	CU1_4	CU2-CU5	CU3_9	CU6	CU7	CU10	OTROS CU	SCO1	SCO2	SCO3	SCO4	SCO5	CHRY1	CHRY2	CHRY3	CHRY4	CHRY5	CHRY6	OTROS CHRY	CARA1	DYN1	DYN2	DYN3	HIST1	HIST2	DERM1	DERM2	DERM3	OTROS COLEOPTEROS	HYM1	HYM2	HYM3	HYM4	HYM5	HYM6	HYM7	HYM8	HYMA	HYMB	HYMC	HYMD	HYME	HYMF	HYMG	HYMH	OTROS HYM 	D1	D2	D3	D4	D5
2021.08.04	18:00	08:30	Femenino	Pastizal	"P00 ""X1"""	a					18	1	25	20	98	0	0	0	0	0	0	1	0	172	5	10	0	0	0	0	0	0	0	0	0	0	32	51	18	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021.08.18	12:00	16:30	Masculino	Bosque	B-010_M	b					0	0	0	0	22	0	0	0	2	0	1	0	1	5	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	1	0	9	0	0	0	0	0	0	3	5	5	32	5	1	1	0	0	0	0	1	0	0
2021.08.18	16:30	19:06	Masculino	Bosque	B-010_M	b					6	4	16	10	206	0	1	0	0	0	0	1	14	157	0	1	0	0	0	0	1	0	1	0	0	0	5	59	70	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	1	0	9	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	27	9	0	0	0	0	2	0	2	0	0
2021.08.19	18:00	07:40	Masculino	Bosque	B-010_M	b					0	1	0	7	56	0	0	0	0	0	0	0	2	26	0	0	0	0	0	0	0	0	0	0	0	0	17	36	12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	1	0	0
2021.08.12	12:00	18:00	Masculino	Bosque	B-044_M	a					0	0	6	1	81	0	32	0	0	0	0	0	1	15	1	0	0	1	0	0	1	0	0	0	0	0	2	8	11	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0
2021.08.14	18:00	08:00	Masculino	Bosque	B-044_M	a					0	0	1	1	15	0	1	0	0	0	0	0	4	122	6	0	0	0	0	0	0	0	0	0	0	0	5	28	36	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2021.08.13	12:00	18:00	Masculino	Bosque	B-044_M	a					1	0	4	1	218	0	14	0	0	0	0	0	5	11	1	1	0	0	0	0	2	0	2	0	0	0	2	12	7	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	79	57	0	7	0	0	0	0	0	0	0
2021.08.13	12:00	18:00	Masculino	Bosque	B-044_M	a					0	1	0	0	146	0	1	0	0	0	0	0	8	6	5	0	1	1	0	0	0	0	1	0	0	0	2	2	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	7	5	0	1	0	0	0	0	0	0	0
2021.08.14	08:00	12:00	Masculino	Bosque	B-044_M	a					2	0	5	0	15	0	3	0	0	0	0	0	4	8	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	8	0	0	1	0	0	0	0
2021.08.13	18:00	08:00	Masculino	Bosque	B-044_M	a					3	4	2	5	78	0	0	0	0	0	0	1	0	46	0	0	0	0	0	0	0	0	0	0	0	0	7	15	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021.08.03	12:00	18:00	Femenino	Bosque	"B00 ""X2"""	a					4	7	13	87	30	0	29	8	0	0	7	0	0	123	1	7	0	0	0	0	10	0	7	0	0	0	11	87	58	0	1	0	0	0	3	0	0	0	1	0	2	0	0	0	2	1	1	0	0	73	0	0	0	0	0	26	4	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0
2021.08.02	12:00	18:10	Femenino	Bosque	"B00 ""X2"""	a					0	0	1	0	13	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	1	0	0	0	5	68	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	5	0	0	0	0	0	0	0	0	0
2021.08.04	08:00	12:00	Femenino	Bosque	"B00 ""X2"""	a					0	2	2	1	7	0	0	0	0	0	0	0	11	95	0	0	0	0	0	0	1	0	0	0	0	0	11	44	6	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	12	0	0	0	0	0	25	0	1	0	0
2021.08.03	12:00	18:00	Femenino	Bosque	"B00 ""X2"""	a					0	0	0	0	2	0	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0
2021.08.05	18:00	08:00	Femenino	Bosque	"B00 ""X2"""	a					1	1	1	0	2	0	1	0	0	0	0	0	6	8	1	0	0	0	0	0	0	0	2	0	0	0	5	9	3	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	2	0	0	0	0	16	0	0	0	0
2021.08.03	18:00	08:30	Femenino	Bosque	"B00 ""X2"""	a					7	3	6	5	40	0	2	0	0	0	1	3	2	21	0	0	0	0	0	0	0	0	0	0	0	0	14	101	57	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	41	0	0	0	0
2021.08.04	12:00	18:00	Femenino	Bosque	"B00 ""X2"""	a					0	0	0	1	1	0	12	0	0	0	0	0	6	4	0	0	0	2	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	8	0	0	0	0
2021.08.02	08:00	12:10	Femenino	Bosque	"B00 ""X2"""	a					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0
2021.08.04	18:00	08:00	Femenino	Bosque	"B00 ""X2"""	a					7	7	4	4	6	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	11	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	15	0	0	0	0
